SIDs$ CIDs
7847500	54454
7847503	4485
7847504	4497
7847506	3033637
7847508	383414
7847966	60855
17397362	5493444
17396800	33630
7847211	8955
7847372	16078
7847278	5381226
7848360	71405
7847378	23667301
7847275	5746
7848166	107979
7847248	5280723
7848160	163727
7847075	33032
7847070	5893
7847073	643975
17397766	2973
17397319	31101
7847509	5833
17397831	5360696
7848947	636397
7847439	5452
17397834	3086651
7847437	2153
7847430	3957
7847433	4020
47207596	41693
17397962	6420042
7847209	3715
17397963	36811
7847207	4114
7849162	6321303
7847204	3559
7847200	3825
17397168	166558
7847188	1548887
7847993	5281104
7847856	67356
7847089	6140
7848061	5824
7847850	26758
7847851	4659569
17397867	11954367
17397865	11954366
17397864	3033702
17397862	107994
17397861	62956
7847481	60857
7847480	60490
7847483	4197
7847271	5280965
7847485	5282381
7847484	4201
7847487	5362129
7847489	37542
7847488	3001055
7847722	4121
7847724	5560
7847628	657298
7847294	9433
7847295	2170
7847291	83786
7847292	2118
7847298	3698
7847299	657201
17398024	8366
7848831	6420040
7848830	54677971
17397590	66383
7849427	60750
7849426	40973
7849421	43815
7849420	4940
7848409	2329
7848019	229455
47206880	2735102
7848017	13109
7848014	6279
7848013	13109
7848010	441401
17397912	6419928
7847650	3385
7847651	55245
7847652	3397
17397914	6918197
17397500	156413
7847156	5754
7847154	864
7847845	31100
7848495	151114
7847588	2541
17397856	3033690
7848887	6215
7847713	71329
7848243	656583
7848246	610479
7849331	64640
7849210	5815
7848538	3395
7849337	104152
7848085	66259
7848087	5362376
7848083	6081
17397807	119828
7848127	104758
7848124	60837
47205864	21155870
47208053	3035241
7847476	4174
7847477	5717
17397037	9910986
7847579	4828
7847578	1775
7847178	122142
7847571	61100
7847570	4753
7847572	4763
7847575	91430
7849208	2083
7847576	4781
7847086	54670067
47207714	5362436
7847498	39147
7848338	443939
7848339	158550
7848332	216457
7847321	2585
17396840	4078
17397041	21850
47206541	15130
7847683	41114
7847682	62920
7847681	60496
7847687	5388961
7847686	5362123
7847685	62969
7847684	4499
7848628	5282183
7847689	54889
7847688	23667962
7847888	62857
7847881	441358
7849056	6918047
7847391	9642
7847390	11954221
7847186	156391
7847392	3386
7847395	3393
7847394	15209
7847397	3440
7847396	3394
7847399	3454
7848904	160024
47206710	14677
47206715	9034
7848902	163751
7849508	59694
7848050	54746
7848057	8307
7847769	5281077
7848059	441411
7848058	8246
7848196	4823
7848195	5381
7849415	2520
7847199	3117
7847198	3059
7847197	5280453
7848755	71764
7847195	54676228
7847194	3672
7847193	36462
7848751	1549120
7848752	444025
7848753	5663
7847618	2337
17397817	11954363
7847753	56801
17397813	60781
7847757	3182
17397811	159324
7847759	23706210
7847611	3763
7847612	42113
7847613	5206
17396749	82148
7847615	4943
7847616	4192
7847817	5281078
7847814	3899
7847818	5497196
7848286	60953
7848280	9051
7849374	445639
7847435	460612
47207127	4771
47207122	9795678
7848576	2097
7847104	936
7847105	311
7847106	243
7847107	6287
7847100	6274
7848828	5282193
7847103	145742
7847108	5997
7847109	6288
17396730	34521
17396731	44571
17396732	4235
17396733	3052775
17396734	60824
17396735	9373
17397555	11954344
17396737	4011
7847715	68540
47206963	158781
17397071	6435922
17397371	6450551
17397370	9869929
7847531	4634
7847530	4616
7847360	3019
7847361	2756
7847364	2724385
7847365	5311071
7847366	3100
7847367	23724775
7847369	3114
7848025	6420009
7848174	5311309
7848906	636380
7848171	24843
7848178	443872
7847629	4205
7848274	15150
17396927	6083
17396888	5311181
7847216	5280483
7847408	5905
7847864	66064
7849153	656684
7847401	3478
7847863	66062
7847402	3488
7849159	517321
7847404	31640
7847406	3639
7849397	1978
7848306	92163
7848305	63030
7849394	4055
7848303	28620
7847219	4044
7847962	667476
7848962	71992
17397893	190816
7847210	126941
7849253	10547
7847964	78000
7847213	5578
47206751	60662
47207896	5583
7848715	65889
7847827	441350
7847826	24244
7847825	60168
7847824	62886
17397852	6917956
7847714	5281065
7847717	2343
7847716	2315
7847711	6100
17397854	6850814
7847712	443879
17397858	6917719
7847719	6918132
7847718	68844
47205952	156665
7849027	5312125
7849026	5282226
7849028	150311
7847492	5073
7847491	4409
7848953	5311225
7848950	636399
17397743	6436002
7847910	65494
17397514	89594
7848430	9878
7848433	20279
